NodeID,ParentID,Value
-1675684528,566,SIMPLICITY
-1675684528,-1675684528,DECL_STMT
-1675684528,-1675684528,VAR_DECL
-1675658448,-1675684528,TYPE_INTEGER
-1675658448,-1675684528,ID_LIST
-1675684432,-1675658448,IDENTIFIER
-1675684432,-1675684528,SEMICOLON
-1675684432,-1675684528,DECL_STMT
-1675684432,-1675684432,VAR_DECL
-1675684432,-1675684432,TYPE_FLOAT
-1675658448,-1675684432,ID_LIST
-1675658448,-1675658448,IDENTIFIER
0,-1675658448,COMMA
0,-1675658448,IDENTIFIER
0,-1675684432,SEMICOLON
0,-1675684528,DECL_STMT
0,0,VAR_DECL
0,0,TYPE_STRING
0,0,ID_LIST
0,0,IDENTIFIER
0,0,ASSIGN
0,0,ASSIGN_OP
0,0,STR_CONST
0,0,SEMICOLON
0,-1675684528,DECL_STMT
0,0,ARR_DECL
0,0,TYPE_INTEGER
0,0,IDENTIFIER
0,0,LEFT_BRACKET
0,0,NUM_CONST
0,0,RIGHT_BRACKET
0,0,SEMICOLON
0,-1675684528,FUNC_STMT
0,0,FUNC_DEF
0,0,TYPE_INTEGER
0,0,IDENTIFIER
0,0,LEFT_PAREN
0,0,PARAM_LIST
0,0,PARAM
0,0,TYPE_INTEGER
0,0,IDENTIFIER
-1675642560,0,COMMA
0,0,PARAM
-1675639888,0,TYPE_INTEGER
0,0,IDENTIFIER
0,0,RIGHT_PAREN
0,0,BLOCK
0,0,LEFT_CURLY
0,0,STMT_LIST
0,0,DECL_STMT
0,0,VAR_DECL
0,0,TYPE_CHARACTER
0,0,ID_LIST
0,0,IDENTIFIER
0,0,ASSIGN
0,0,ASSIGN_OP
0,0,CHAR_CONST
0,0,SEMICOLON
0,0,RIGHT_CURLY
-1675639888,-1675684528,FUNC_STMT
-1675639552,-1675639888,FUNC_DEF
0,-1675639552,TYPE_INTEGER
0,-1675639552,IDENTIFIER
0,-1675639552,LEFT_PAREN
0,-1675639552,PARAM_LIST
0,0,PARAM
0,0,TYPE_STRING
0,0,IDENTIFIER
-1675639888,-1675639552,RIGHT_PAREN
-1675640032,-1675639552,BLOCK
0,-1675640032,LEFT_CURLY
0,-1675640032,STMT_LIST
0,0,OUTPUT_STMT
0,0,SEQUENCE_OUTPUT
0,0,KW_DISPLAY
0,0,LEFT_PAREN
0,0,STR_WITH_FORMAT
0,0,COMMA
0,0,OUTPUT_ELEM
0,0,IDENTIFIER
0,0,RIGHT_PAREN
0,0,SEMICOLON
0,0,OUTPUT_STMT
0,0,SEQUENCE_OUTPUT
-1675637248,0,KW_DISPLAY
0,0,LEFT_PAREN
0,0,STR_WITH_FORMAT
0,0,COMMA
0,0,OUTPUT_ELEM
0,0,IDENTIFIER
0,0,COMMA
0,0,OUTPUT_ELEM
0,0,IDENTIFIER
-1675636144,0,RIGHT_PAREN
0,0,SEMICOLON
-1675636144,-1675640032,RIGHT_CURLY
0,-1675684528,TYPE_INTEGER
0,-1675684528,MAIN
0,-1675684528,LEFT_PAREN
0,-1675684528,RW_VOID
0,-1675684528,RIGHT_PAREN
0,-1675684528,BLOCK
-1675637248,0,LEFT_CURLY
0,0,STMT_LIST
0,0,DECL_STMT
0,0,VAR_DECL
0,0,TYPE_INTEGER
0,0,ID_LIST
0,0,IDENTIFIER
0,0,ASSIGN
0,0,ASSIGN_OP
-1675683248,0,SEMICOLON
-1675640032,0,COND_STMT
0,-1675640032,IF_STMT
0,0,BOOL_EXP
0,0,BOOL_TERM
0,0,BOOL_FACTOR
0,0,REL_EXP
0,0,REL_OP
0,0,REL_GT
0,0,ARITH_EXP
0,0,TERM
0,0,FACTOR
0,0,BASE
0,0,NUM_CONST
0,0,BLOCK
0,0,LEFT_CURLY
0,0,STMT_LIST
0,0,OUTPUT_STMT
0,0,STD_OUTPUT
0,0,KW_DISPLAY
0,0,LEFT_PAREN
0,0,STR_CONST
0,0,RIGHT_PAREN
0,0,SEMICOLON
0,0,RIGHT_CURLY
0,0,RIGHT_CURLY
